SRate,Temp,Sal,pH,DO,Nit,Amm
100,28.3,29,7,6.8,0.33,0.1
100,27.5,29,7.02,6.7,4.5,0.06
100,27.7,30,7.05,6.6,9,0.04
100,27.6,30,6.96,6.6,8.7,0
98,27.5,29,7.15,6.2,8.2,0.04
98,27.2,31,6.2,7.2,7.2,0.88
98,27.6,30,7.22,7.1,6.9,0.65
98,27.8,29,7.21,7,5.8,0.32
96,28.4,30,7.37,7,5.1,0
96,28.3,30,7.48,7.1,4.6,0.04
95,28.3,31,7.49,7.2,3.2,0.06
95,27.1,31,6.92,7.3,2.3,0.14
94,27.9,30,7.08,7.4,1,0
93,28.2,31,6.8,7.4,0.6,0.02
93,27.8,32,7.05,7.3,0.4,0.04
92,27.7,32,7.18,7.1,0.3,0
92,26.8,31,7.14,7.2,0.2,0.02
91,26.5,30,7.31,7.4,0.1,0.03
91,25.4,29,7.25,7.8,0.07,0.05
90,26.1,29,7.24,7.6,0.05,0.06
90,26.9,30,7.35,7.2,0.1,0.13
90,27.3,30,7.32,6.9,0.4,0.18
90,27.7,31,6.75,6.7,0.6,0.23
89,27.8,32,7.03,6.5,0.7,0.25
89,27.1,31,6.85,6.6,8,0.14
89,27.4,32,6.78,6.8,0.69,0
88,27.6,32,6.86,7.4,0.71,0.21
88,28.1,33,6.93,7.5,0.64,0.13
88,27.6,31,6.9,8.2,0.5,0.12
86,28.1,32,7,7.4,0.34,0
86,27.9,33,6.8,6.9,0.32,0.03
85,28,34,6.86,6.3,0.24,0.1
84,27,34,7.09,6.6,0.15,0.12
84,26.8,35,7.35,7.2,1.54,0.14
83,26.2,33,7.42,8.1,0.76,0.02
83,26.2,30,7.73,7.7,0.53,0.01
83,26.2,29,7.71,8.3,0.33,0
83,25.9,29,7.78,7.6,6,0.02
83,25.7,29,7.76,7.3,0.33,0.03
83,25.9,28,7.74,7.4,0.27,0.06
83,25.8,27,7.82,8.1,0.39,0.09
82,25.2,26,7.85,7.8,0.34,0.04
82,25.5,25,7.87,7.7,0.48,0.07
82,25.6,25,7.8,7.6,0.26,0
82,25.8,25,7.7,8.2,0.15,0.06
82,24.5,25,7.7,8.3,0.17,0.05
82,24.9,25,7.96,7.8,0.25,0.08
82,25.3,25,8.11,8.1,0.28,0.06
82,25.3,25,8.1,7.5,0.27,0
81,25.6,25,8.11,8.3,0.25,0.12
81,25.6,30,8.14,8,0.24,0.04
81,25.7,32,8.24,7.1,0.23,0.03
80,25.7,36,8.22,7.8,0.26,0
80,25.4,34,8.3,7.9,0.37,0.07
80,25.7,35,8.3,7.9,0.42,0.1
80,26.2,33,8,7.4,0.47,0.11
80,25.3,32,8.26,8,0.5,0.13
80,25.9,30,8.27,8.4,0.51,0.19
80,25,30,8.28,7.2,0.51,0.15
80,25.1,28,8.21,7.4,0.5,0.17
80,25.2,25,7.21,7.2,0.5,0.07
80,25.7,25,7.99,10.1,0.49,0.06
80,24.5,26,7.99,8,0.47,0.05
80,24.1,27,8.01,8.3,0.47,0.06
80,24.6,26,7.98,7.1,0.46,0.04
80,25.8,29,7.98,7.4,0.45,0.03
80,26.4,34,7.36,7.6,0.43,0.02
80,26.2,34,8.01,8.1,0.41,0.06
80,26.6,33,7.96,8,0.41,0.08
80,26.2,34,8.03,7.6,0.49,0.09
80,25.3,33,8.08,7.8,0.53,0.17
80,25.6,32,8.06,8,0.56,0.23
80,26.5,32,7.95,7.6,0.56,0.26
80,24,29,8.18,7.1,0,0.06
80,22.1,25,8.1,8.3,0.04,0.08
80,23.7,23,7.95,8,0.07,0.04
80,23.4,20,8.02,7.6,0.09,0.04
80,27.3,24,8.1,8.1,0.1,0.03
80,24.6,24,8.05,8,0.1,0
80,23.5,25,8.1,7.9,0.02,0
80,22.4,25,8.2,7.8,0.03,0.04
80,23.4,23,8.2,8.3,0.07,0.12
80,24.8,25,8.2,8.1,0.03,0.11
80,22.4,25,8.2,7.6,0,0.07
80,24.9,26,8.1,7.9,0,0.06
80,24.9,27,8.1,8.1,0,0.02
