Survival Rate,Temperature (°C),Salinity (ppt),pH,D.O.,Nitrite (ppm),Ammonia (mg/L),
100,27.2,35,7.3,6.9,0.91,0.1,
100,26.7,34,7.41,6.8,0,0.3,
100,27,35,6.91,6.7,0.46,0.19,
100,26.9,34,7,6.6,2.4,0.69,
98,26.5,35,7.47,6.1,0,0.29,
99,26.4,35,7.1,6.3,0,0.11,
99,27,36,7.33,6.7,0,0,
99,27.6,35,7.48,7,0.7,0,
99,27.3,36,7.55,7.2,1.3,0,
99,27.2,36,7.49,7.4,3,0.03,
99,26,37,7.34,7.4,2.65,0.23,
95,27,38,7.15,7.2,1.9,0.25,
94,27.5,38,7.17,7.3,2.1,0.14,
93,26.8,37,7,7.4,0.9,0,
93,26.2,43,7.11,6.9,1.74,0.21,
92,25.7,40,7.1,7.3,0.9,0.13,
92,25.6,38,7.27,7.2,0.58,0.12,
91,25.7,34,7.14,7.7,0.26,0,
91,25,35,7.19,8.3,1.06,0.03,
90,25.9,34,7.36,8.3,0.7,0.1,
90,26.3,33,7.47,7.8,0.6,0.12,
90,26.6,32,6.83,8.2,0.78,0.14,
90,26.7,35,6.7,8.2,0.5,0.02,
89,26.7,34,7.11,7.3,0.4,0,
89,26.8,36,7.14,7.3,0.18,0,
89,26.8,37,7.16,8.2,0.01,0.04,
88,27,37,7.07,8.7,0.2,0,
88,27.9,35,7,7.6,0.39,0.04,
88,27.1,36,7.25,8.3,0.5,0.88,
86,26.7,36,7.39,8.3,0.8,0.65,
86,26.7,37,7.14,7,0.83,0.32,
85,25.5,35,7.53,7.4,0.77,0,
84,25.5,35,7.33,8.4,0,0.04,
84,25.4,36,7.29,8.1,0.19,0.06,
83,25.3,35,7.7,7.8,0,0.14,
83,25.4,36,7.69,8.4,0.61,0,
83,25,35,7.72,7.7,3,0.02,
83,25.1,34,7.52,7.4,3.21,0.04,
83,25.1,34,7.36,7.6,4.1,0,
83,25.3,34,7.46,8.2,0.42,0.02,
83,25.1,33,7.66,7.9,0.07,0,
82,25.3,33,7.66,7.6,0.19,0,
82,25.3,33,7.69,7.6,0.31,0.06,
82,25.3,35,7.7,8.2,0.43,0,
82,24.9,35,7.8,9.9,0.55,0.12,
82,25,34,7.74,7.7,0.67,0.04,
82,25.4,34,7.87,7.8,0.33,0.03,
82,25.5,34,7.94,7.4,0.22,0,
82,25.7,33,7.98,8.1,0.24,0.07,
81,25.8,33,7.96,7.9,0.24,0.1,
81,25.9,34,8.03,7.1,0.26,0.11,
81,26,33,8.02,7.7,0.05,0.13,
80,25.9,32,8.01,7.6,0.58,0.19,
80,26.3,33,8,7.6,0.37,0.15,
80,27.5,32,7.9,7.4,0.16,0.17,
80,25.9,32,7.97,7.9,0.05,0.07,
80,27.1,33,7.94,8.4,0.26,0.06,
80,25.6,32,7.77,7.1,2.4,0.05,
80,25.4,32,7.75,7.5,0.1,0.23,
80,25.5,32,7.73,7.1,0.19,0.26,
80,25.7,32,7.42,10,0.7,0.06,
80,25.2,32,7.45,7.9,0.47,0.08,
80,24.9,32,7.48,8.2,0.47,0.04,
80,25,33,7.4,7.1,0.64,0.04,
80,26.1,34,7.34,7.6,0.52,0.03,
80,28.3,35,7.26,7.8,0.51,0,
80,26.5,35,7.45,6.9,0.48,0,
80,26.8,35,7.39,8,0.41,0.04,
80,26.5,35,7.49,7.5,0,0.12,
79,25.6,34,7.5,7.9,0,0.11,
79,25.2,34,7.46,8.1,0,0.07,
78,24.8,34,7.44,7.7,0.54,0.06,
78,26.1,35,7.43,6.9,0.91,0.02,
78,25.7,35,7.43,7.9,0,0,
78,25.7,35,7.35,7.7,0.46,0,
78,25.5,35,7.41,7.6,2.4,0,
78,25.8,36,7.5,8.3,0,0.04,
77,24.9,36,7.38,7.9,0,0,
76,24.1,36,7.29,8.2,0,0.04,
76,23.4,35,7.5,7.1,0.7,0.88,
76,23.4,35,7.4,7.6,1.3,0.65,
76,25,34,7.4,7.8,0.7,0.32,
76,23.4,34,7.3,6.9,0.44,0,
76,25,34,7.2,8,0.49,0.04,
76,24.9,34,7.4,7.6,0.56,0.8,
